Transaction_Date,Description,Amount_UGX,Category,Source
2025-10-30,PAID FOR CARREFOUR,87600.0,Food & Groceries,Stanbic
2025-05-24,PAID FOR QUALITY SUPERMARKET,124000.0,Food & Groceries,Centenary Bank
2026-01-19,WHT 41% NWSC,170500.0,Utilities,MTN MoMo
2025-12-15,MOMOPAY 783382 MEGA STANDARD,53800.0,Food & Groceries,MTN MoMo
2026-02-16,AGENT 6320 - JAVA HOUSE,33600.0,Dining & Drinks,Centenary Bank
2026-02-02,POS PURCHASE AIRTEL TOPUP KAMPALA,35300.0,Airtime & Data,Airtel Money
2026-02-25,AGENT 6176 - MTN AIRTIME,47600.0,Airtime & Data,Centenary Bank
2025-05-13,AGENT 6240 - STANDARD HIGH,388000.0,Education,Centenary Bank
2025-12-10,PAID FOR MOMO TRANSFER FROM,1259600.0,Income/Transfers,Airtel Money
2026-02-13,AGENT 8631 - CARREFOUR,79500.0,Food & Groceries,Stanbic
2025-12-17,KFC GULU,83600.0,Dining & Drinks,Stanbic
2025-05-02,AGENT 4584 - MEGA STANDARD,27600.0,Food & Groceries,Stanbic
2025-12-14,POS PURCHASE MAKERERE UNI KAMPALA,1814800.0,Education,MTN MoMo
2026-01-17,MOMOPAY 162782 BANK TO WALLET,1708700.0,Income/Transfers,Centenary Bank
2025-12-01,MOMOPAY 588954 JAVA HOUSE,71000.0,Dining & Drinks,MTN MoMo
2025-05-03,MTN AIRTIME MUK,46800.0,Airtime & Data,Centenary Bank
2025-11-19,WHT 42% MTN AIRTIME,900.0,Airtime & Data,Centenary Bank
2026-02-27,PAID FOR SALARY DEPOSIT,1998400.0,Income/Transfers,Centenary Bank
2025-06-04,PAID FOR QUALITY SUPERMARKET,15900.0,Food & Groceries,Stanbic
2025-08-10,LYCADATA ENT,28400.0,Airtime & Data,Stanbic
2026-03-16,POS PURCHASE GREENHILL ACADEMY KAMPALA,1627800.0,Education,MTN MoMo
2025-05-18,AGENT 1699 - AIRTEL INTERNET,221500.0,Utilities,Centenary Bank
2025-10-18,WHT 18% UBER,40000.0,Transport,Airtel Money
2025-09-30,POS PURCHASE QUALITY SUPERMARKET KAMPALA,56300.0,Food & Groceries,Centenary Bank
2025-06-19,POS PURCHASE MEGA STANDARD KAMPALA,38300.0,Food & Groceries,MTN MoMo
2025-04-23,PAID FOR SALARY DEPOSIT,1845200.0,Income/Transfers,Airtel Money
2026-01-01,WHT 14% SALARY DEPOSIT,3605400.0,Income/Transfers,Centenary Bank
2025-04-11,MOMOPAY 587449 STANDARD HIGH,1932400.0,Education,MTN MoMo
2025-10-08,PAID FOR MTN AIRTIME,16600.0,Airtime & Data,Airtel Money
2025-12-22,WHT 83% NWSC,274800.0,Utilities,Centenary Bank
2026-01-30,PAID FOR LYCADATA,41500.0,Airtime & Data,MTN MoMo
2025-06-13,AGENT 3947 - MTN AIRTIME,24500.0,Airtime & Data,Airtel Money
2026-02-26,AGENT 1386 - SALARY DEPOSIT,199300.0,Income/Transfers,Centenary Bank
2025-06-14,WHT 53% JAVA HOUSE,60900.0,Dining & Drinks,Stanbic
2025-10-27,WHT 94% YY COACHES,42900.0,Transport,MTN MoMo
2025-08-29,MOMOPAY 537022 AIRTEL TOPUP,42300.0,Airtime & Data,Centenary Bank
2025-06-15,AGENT 9884 - SAFEBODA,36400.0,Transport,Centenary Bank
2025-08-14,MOMO TRANSFER FROM MUK,3230300.0,Income/Transfers,MTN MoMo
2025-06-10,POS PURCHASE CARREFOUR KAMPALA,14000.0,Food & Groceries,MTN MoMo
2025-06-02,WHT 16% MOMO TRANSFER FROM,2030100.0,Income/Transfers,MTN MoMo
2026-03-23,MOMOPAY 132262 UMEME YAKA,210000.0,Utilities,Airtel Money
2025-12-17,CARREFOUR ENT,93800.0,Food & Groceries,Centenary Bank
2025-05-02,POS PURCHASE AIRTEL TOPUP KAMPALA,38900.0,Airtime & Data,Stanbic
2025-09-27,AGENT 4577 - LOCAL JOINT,54400.0,Dining & Drinks,Centenary Bank
2026-03-11,WHT 26% MOMO TRANSFER FROM,2056800.0,Income/Transfers,Airtel Money
2025-06-02,MEGA STANDARD MSK,43200.0,Food & Groceries,MTN MoMo
2026-01-14,WHT 78% LOCAL JOINT,62600.0,Dining & Drinks,Airtel Money
2025-06-01,POS PURCHASE BANK TO WALLET KAMPALA,3042600.0,Income/Transfers,MTN MoMo
2025-12-18,MOMOPAY 106109 LINK BUS,40800.0,Transport,MTN MoMo
2025-04-23,POS PURCHASE CAPITAL SHOPPERS KAMPALA,136200.0,Food & Groceries,Stanbic
2026-02-08,MOMOPAY 530745 KYAMBOGO,399100.0,Education,Centenary Bank
2026-02-19,SALARY DEPOSIT GULU,2671300.0,Income/Transfers,Airtel Money
2025-09-08,PAID FOR YY COACHES,52400.0,Transport,Stanbic
2025-06-26,AGENT 7104 - KFC,82400.0,Dining & Drinks,Centenary Bank
2025-07-07,POS PURCHASE SHELL KAMPALA,18100.0,Transport,Airtel Money
2025-05-02,WHT 79% MOMO TRANSFER FROM,3001100.0,Income/Transfers,Airtel Money
2025-10-14,POS PURCHASE MULTICHOICE DSTV KAMPALA,35700.0,Utilities,Airtel Money
2025-11-04,POS PURCHASE LYCADATA KAMPALA,30700.0,Airtime & Data,Centenary Bank
2026-01-26,PAID FOR MEGA STANDARD,30400.0,Food & Groceries,Stanbic
2025-05-08,MOMOPAY 252447 JAVA HOUSE,116700.0,Dining & Drinks,Stanbic
2025-06-05,WHT 90% AIRTEL TOPUP,7100.0,Airtime & Data,Stanbic
2025-12-10,AGENT 7657 - KFC,65400.0,Dining & Drinks,Airtel Money
2025-06-27,POS PURCHASE KYAMBOGO KAMPALA,1831700.0,Education,Centenary Bank
2026-01-16,UMEME YAKA MUK,15400.0,Utilities,Airtel Money
2025-06-03,POS PURCHASE CARREFOUR KAMPALA,105600.0,Food & Groceries,Stanbic
2025-04-26,POS PURCHASE LINK BUS KAMPALA,74600.0,Transport,Stanbic
2025-07-06,POS PURCHASE MTN AIRTIME KAMPALA,33700.0,Airtime & Data,Centenary Bank
2025-08-19,AGENT 1112 - BANK TO WALLET,1459400.0,Income/Transfers,Stanbic
2025-03-29,PAID FOR QUALITY SUPERMARKET,63300.0,Food & Groceries,Stanbic
2025-11-06,POS PURCHASE JAVA HOUSE KAMPALA,22900.0,Dining & Drinks,MTN MoMo
2026-03-10,TOTALENERGIES MUK,77300.0,Transport,Stanbic
2026-02-23,YY COACHES KLA,76800.0,Transport,Centenary Bank
2025-11-21,AGENT 3675 - NANDOS,66700.0,Dining & Drinks,Stanbic
2025-07-05,POS PURCHASE KFC KAMPALA,107800.0,Dining & Drinks,Airtel Money
2025-07-30,PAID FOR CAFESSERIE,64800.0,Dining & Drinks,Centenary Bank
2025-12-19,MOMOPAY 689421 MTN AIRTIME,7100.0,Airtime & Data,Centenary Bank
2025-08-29,MOMOPAY 553807 CAPITAL SHOPPERS,10400.0,Food & Groceries,Centenary Bank
2025-04-14,MOMO TRANSFER FROM GULU,2909400.0,Income/Transfers,Centenary Bank
2025-12-02,MOMOPAY 979848 KIKUUBO WHOLESALE,90400.0,Food & Groceries,MTN MoMo
2025-04-29,WHT 32% MEGA STANDARD,108400.0,Food & Groceries,Stanbic
2026-02-13,MOMOPAY 230852 MEGA STANDARD,136800.0,Food & Groceries,Stanbic
2025-10-10,MOMO TRANSFER FROM KLA,3396600.0,Income/Transfers,MTN MoMo
2025-09-08,MULTICHOICE DSTV ENT,250800.0,Utilities,MTN MoMo
2026-02-12,AGENT 1279 - LYCADATA,7800.0,Airtime & Data,Centenary Bank
2025-05-20,WHT 52% SALARY DEPOSIT,3228000.0,Income/Transfers,Airtel Money
2025-05-12,POS PURCHASE CARREFOUR KAMPALA,91000.0,Food & Groceries,Airtel Money
2025-12-15,WHT 53% MTN AIRTIME,43600.0,Airtime & Data,Airtel Money
2025-08-23,WHT 18% MAKERERE UNI,2441700.0,Education,Airtel Money
2025-05-19,MOMOPAY 581585 BANK TO WALLET,1159300.0,Income/Transfers,Stanbic
2025-12-21,PAID FOR MOMO TRANSFER FROM,345700.0,Income/Transfers,Stanbic
2025-11-15,BANK TO WALLET ENT,415100.0,Income/Transfers,Stanbic
2025-06-02,MTN AIRTIME KLA,19300.0,Airtime & Data,Stanbic
2026-01-01,MOMOPAY 970427 NANDOS,85300.0,Dining & Drinks,Centenary Bank
2025-10-16,AGENT 7953 - NANDOS,58200.0,Dining & Drinks,MTN MoMo
2025-05-27,PAID FOR SALARY DEPOSIT,2067700.0,Income/Transfers,Centenary Bank
2025-11-19,AGENT 5845 - AIRTEL TOPUP,20800.0,Airtime & Data,Airtel Money
2025-12-28,MOMOPAY 833605 MOMO TRANSFER FROM,267500.0,Income/Transfers,MTN MoMo
2025-10-25,POS PURCHASE AIRTEL TOPUP KAMPALA,44200.0,Airtime & Data,MTN MoMo
2025-04-26,KYAMBOGO GULU,1093600.0,Education,Centenary Bank
2025-04-15,PAID FOR JAVA HOUSE,40800.0,Dining & Drinks,Stanbic
2025-10-13,MOMOPAY 741415 AIRTEL TOPUP,46900.0,Airtime & Data,Stanbic
2025-10-20,PAID FOR BANK TO WALLET,1584100.0,Income/Transfers,Stanbic
2025-12-25,NANDOS MUK,64200.0,Dining & Drinks,MTN MoMo
2026-01-20,WHT 90% AIRTEL INTERNET,295100.0,Utilities,Centenary Bank
2025-08-02,MOMOPAY 852916 JAVA HOUSE,119300.0,Dining & Drinks,Airtel Money
2025-09-23,CARREFOUR MSK,85000.0,Food & Groceries,Stanbic
2025-10-10,MOMOPAY 720596 MTN AIRTIME,30000.0,Airtime & Data,Centenary Bank
2025-04-16,WHT 29% YY COACHES,54600.0,Transport,MTN MoMo
2025-06-04,WHT 36% AIRTEL INTERNET,173100.0,Utilities,Stanbic
2025-07-10,MOMOPAY 599924 MTN AIRTIME,31600.0,Airtime & Data,Airtel Money
2025-12-06,AGENT 8956 - LYCADATA,40800.0,Airtime & Data,Airtel Money
2025-08-30,MOMOPAY 979722 CAPITAL SHOPPERS,142200.0,Food & Groceries,Airtel Money
2025-08-10,POS PURCHASE AIRTEL INTERNET KAMPALA,228200.0,Utilities,Centenary Bank
2026-02-26,AGENT 3033 - LYCADATA,39600.0,Airtime & Data,Centenary Bank
2025-05-29,AGENT 5857 - GREENHILL ACADEMY,761500.0,Education,Airtel Money
2025-06-19,MTN AIRTIME MUK,15400.0,Airtime & Data,Stanbic
2025-08-29,AGENT 1509 - KFC,72400.0,Dining & Drinks,Airtel Money
2025-11-27,AGENT 5591 - BANK TO WALLET,3970600.0,Income/Transfers,Stanbic
2025-09-04,POS PURCHASE LYCADATA KAMPALA,49900.0,Airtime & Data,MTN MoMo
2026-03-16,WHT 70% KFC,16700.0,Dining & Drinks,Stanbic
2025-06-19,CARREFOUR KLA,75700.0,Food & Groceries,Stanbic
2026-02-16,PAID FOR UBER,46600.0,Transport,MTN MoMo
2025-07-18,MOMOPAY 367750 LOCAL JOINT,25100.0,Dining & Drinks,Airtel Money
2025-09-17,WHT 35% BANK TO WALLET,1200300.0,Income/Transfers,Airtel Money
2026-01-16,MOMOPAY 151787 MULTICHOICE DSTV,20800.0,Utilities,Airtel Money
2025-12-19,PAID FOR JAVA HOUSE,116300.0,Dining & Drinks,MTN MoMo
2025-12-05,TOTALENERGIES ENT,3300.0,Transport,Centenary Bank
2026-02-01,MOMOPAY 506046 LINK BUS,43000.0,Transport,Stanbic
2025-06-30,PAID FOR KYAMBOGO,2153800.0,Education,MTN MoMo
2025-10-19,LOCAL JOINT MUK,74500.0,Dining & Drinks,Centenary Bank
2025-07-15,MOMOPAY 196966 SAFEBODA,44600.0,Transport,Stanbic
2025-10-09,MOMOPAY 186769 UBER,6400.0,Transport,Centenary Bank
2025-06-01,MOMOPAY 496540 CARREFOUR,61200.0,Food & Groceries,Centenary Bank
2025-05-03,AIRTEL TOPUP MSK,31200.0,Airtime & Data,MTN MoMo
2025-08-12,PAID FOR LOCAL JOINT,28500.0,Dining & Drinks,MTN MoMo
2025-12-14,MOMOPAY 221729 CAFESSERIE,78900.0,Dining & Drinks,MTN MoMo
2025-04-09,LINK BUS MBALE,52400.0,Transport,Centenary Bank
2025-10-11,AGENT 9439 - NANDOS,84400.0,Dining & Drinks,Airtel Money
2025-08-25,POS PURCHASE MOMO TRANSFER FROM KAMPALA,4651000.0,Income/Transfers,Centenary Bank
2026-02-16,AGENT 5781 - CAPITAL SHOPPERS,85600.0,Food & Groceries,Centenary Bank
2025-12-06,PAID FOR NANDOS,96200.0,Dining & Drinks,Centenary Bank
2026-02-03,AGENT 5765 - UBER,72800.0,Transport,Stanbic
2025-07-16,MOMOPAY 722987 MTN AIRTIME,39000.0,Airtime & Data,Stanbic
2025-12-17,WHT 50% UBER,10500.0,Transport,Centenary Bank
2026-02-27,POS PURCHASE LYCADATA KAMPALA,29800.0,Airtime & Data,MTN MoMo
2026-01-26,AGENT 3704 - AIRTEL TOPUP,15400.0,Airtime & Data,Airtel Money
2026-02-27,PAID FOR KIKUUBO WHOLESALE,98000.0,Food & Groceries,MTN MoMo
2026-03-04,POS PURCHASE AIRTEL INTERNET KAMPALA,135600.0,Utilities,MTN MoMo
2025-07-18,WHT 39% CAPITAL SHOPPERS,65300.0,Food & Groceries,Stanbic
2025-11-13,NANDOS KLA,91600.0,Dining & Drinks,Centenary Bank
2025-04-27,LYCADATA ENT,14400.0,Airtime & Data,Stanbic
2025-11-30,AGENT 8827 - MEGA STANDARD,120100.0,Food & Groceries,Centenary Bank
2025-11-27,WHT 45% CAFESSERIE,31900.0,Dining & Drinks,Centenary Bank
2025-09-22,AGENT 7096 - NWSC,226600.0,Utilities,MTN MoMo
2025-08-13,WHT 22% SAFEBODA,5200.0,Transport,Airtel Money
2025-11-05,POS PURCHASE SAFEBODA KAMPALA,27200.0,Transport,Centenary Bank
2025-08-30,WHT 24% YY COACHES,77500.0,Transport,Centenary Bank
2025-08-09,MOMOPAY 268914 MULTICHOICE DSTV,279000.0,Utilities,Airtel Money
2025-07-28,LINK BUS MBALE,10200.0,Transport,Stanbic
2026-03-14,WHT 89% LYCADATA,15700.0,Airtime & Data,Centenary Bank
2025-09-30,PAID FOR UMEME YAKA,253000.0,Utilities,MTN MoMo
2025-04-23,PAID FOR NANDOS,90900.0,Dining & Drinks,Stanbic
2026-02-22,YY COACHES GULU,12800.0,Transport,Centenary Bank
2025-04-11,MOMOPAY 924985 MOMO TRANSFER FROM,290800.0,Income/Transfers,Airtel Money
2025-10-14,POS PURCHASE LINK BUS KAMPALA,3700.0,Transport,MTN MoMo
2025-12-18,STANDARD HIGH GULU,370100.0,Education,MTN MoMo
2025-11-29,PAID FOR BANK TO WALLET,4898500.0,Income/Transfers,Airtel Money
2026-03-16,WHT 80% SALARY DEPOSIT,2374000.0,Income/Transfers,MTN MoMo
2025-11-05,MOMOPAY 197335 STANDARD HIGH,1192300.0,Education,MTN MoMo
2025-09-16,QUALITY SUPERMARKET GULU,41000.0,Food & Groceries,Centenary Bank
2025-10-20,AGENT 4211 - TOTALENERGIES,53300.0,Transport,MTN MoMo
2025-08-16,LYCADATA MUK,30300.0,Airtime & Data,Airtel Money
2026-03-15,WHT 45% LYCADATA,22100.0,Airtime & Data,Stanbic
2025-12-13,MOMOPAY 156276 MTN AIRTIME,41300.0,Airtime & Data,MTN MoMo
2026-01-20,MOMOPAY 761186 BANK TO WALLET,1593700.0,Income/Transfers,Stanbic
2025-10-26,AGENT 3530 - CAPITAL SHOPPERS,79700.0,Food & Groceries,Airtel Money
2025-06-21,SALARY DEPOSIT MBALE,1841500.0,Income/Transfers,MTN MoMo
2025-08-28,CAPITAL SHOPPERS MUK,18400.0,Food & Groceries,Airtel Money
2025-07-15,AGENT 5470 - UMEME YAKA,53000.0,Utilities,MTN MoMo
2025-11-16,AGENT 1140 - KIKUUBO WHOLESALE,117300.0,Food & Groceries,Airtel Money
2025-06-14,PAID FOR SHELL,24100.0,Transport,MTN MoMo
2025-09-29,AGENT 5647 - MTN AIRTIME,45700.0,Airtime & Data,Stanbic
2025-03-23,MOMOPAY 135930 MTN AIRTIME,37500.0,Airtime & Data,Stanbic
2025-12-17,MOMO TRANSFER FROM GULU,1004800.0,Income/Transfers,Airtel Money
2026-02-03,AGENT 3688 - QUALITY SUPERMARKET,101500.0,Food & Groceries,Airtel Money
2025-07-28,WHT 84% LYCADATA,35000.0,Airtime & Data,Stanbic
2025-05-17,WHT 27% UBER,65300.0,Transport,MTN MoMo
2025-05-23,MOMOPAY 336391 ZUKU TV,42800.0,Utilities,Stanbic
2025-04-17,POS PURCHASE LOCAL JOINT KAMPALA,115900.0,Dining & Drinks,Centenary Bank
2026-01-23,BANK TO WALLET MSK,915600.0,Income/Transfers,Centenary Bank
2025-04-15,AGENT 9035 - UMEME YAKA,270900.0,Utilities,Airtel Money
2025-10-26,LOCAL JOINT ENT,43600.0,Dining & Drinks,Airtel Money
2025-09-02,WHT 72% TOTALENERGIES,66800.0,Transport,Airtel Money
2026-03-22,LYCADATA MSK,30200.0,Airtime & Data,Stanbic
2025-11-10,PAID FOR STANDARD HIGH,1504800.0,Education,MTN MoMo
2026-02-25,AGENT 9460 - MOMO TRANSFER FROM,1000800.0,Income/Transfers,Airtel Money
2025-09-01,AGENT 7890 - SAFEBODA,49500.0,Transport,Stanbic
2025-06-03,WHT 23% CAPITAL SHOPPERS,10400.0,Food & Groceries,Airtel Money
2025-05-08,WHT 59% MOMO TRANSFER FROM,3929100.0,Income/Transfers,MTN MoMo
2025-10-23,MOMOPAY 594033 MOMO TRANSFER FROM,3735000.0,Income/Transfers,MTN MoMo
2025-06-01,PAID FOR BANK TO WALLET,3446600.0,Income/Transfers,Airtel Money
2026-02-23,PAID FOR MAKERERE UNI,1068500.0,Education,MTN MoMo
2025-12-19,POS PURCHASE QUALITY SUPERMARKET KAMPALA,83700.0,Food & Groceries,Airtel Money
2025-07-19,POS PURCHASE AIRTEL TOPUP KAMPALA,24400.0,Airtime & Data,Centenary Bank
2025-11-04,POS PURCHASE LINK BUS KAMPALA,13500.0,Transport,Stanbic
2025-06-14,WHT 77% MOMO TRANSFER FROM,996600.0,Income/Transfers,Centenary Bank
2025-06-21,WHT 88% MOMO TRANSFER FROM,1291500.0,Income/Transfers,Stanbic
2026-02-13,AGENT 2818 - AIRTEL TOPUP,45400.0,Airtime & Data,MTN MoMo
2025-06-21,PAID FOR MEGA STANDARD,17700.0,Food & Groceries,MTN MoMo
2025-06-24,AGENT 6116 - MOMO TRANSFER FROM,1318200.0,Income/Transfers,Centenary Bank
2025-10-14,POS PURCHASE MEGA STANDARD KAMPALA,39400.0,Food & Groceries,Centenary Bank
2025-08-28,PAID FOR SALARY DEPOSIT,1203800.0,Income/Transfers,Stanbic
2025-05-30,MOMOPAY 549540 MEGA STANDARD,142700.0,Food & Groceries,Centenary Bank
2025-12-20,WHT 95% LYCADATA,10700.0,Airtime & Data,Stanbic
2025-03-31,MOMOPAY 626639 BANK TO WALLET,2017700.0,Income/Transfers,Airtel Money
2025-05-30,AGENT 2144 - SHELL,5200.0,Transport,MTN MoMo
2026-02-20,MEGA STANDARD ENT,127600.0,Food & Groceries,Airtel Money
2025-11-02,PAID FOR BANK TO WALLET,4717500.0,Income/Transfers,Airtel Money
2026-01-22,MTN AIRTIME KLA,37000.0,Airtime & Data,Stanbic
2026-01-10,MOMOPAY 966931 UBER,64600.0,Transport,Stanbic
2025-09-04,POS PURCHASE SALARY DEPOSIT KAMPALA,1513800.0,Income/Transfers,MTN MoMo
2025-07-27,POS PURCHASE YY COACHES KAMPALA,69700.0,Transport,Stanbic
2025-03-27,JAVA HOUSE ENT,47700.0,Dining & Drinks,MTN MoMo
2025-11-02,PAID FOR LOCAL JOINT,50400.0,Dining & Drinks,Stanbic
2026-02-17,AIRTEL INTERNET MBALE,266500.0,Utilities,Centenary Bank
2025-04-16,MOMOPAY 863460 LYCADATA,15700.0,Airtime & Data,Stanbic
2025-03-28,UBER KLA,55100.0,Transport,Stanbic
2025-04-21,CAPITAL SHOPPERS MUK,148200.0,Food & Groceries,Stanbic
2025-03-29,AGENT 9188 - AIRTEL TOPUP,46700.0,Airtime & Data,Centenary Bank
2025-08-26,AGENT 5469 - QUALITY SUPERMARKET,42600.0,Food & Groceries,Centenary Bank
2025-08-24,POS PURCHASE CARREFOUR KAMPALA,80100.0,Food & Groceries,Centenary Bank
2025-10-22,PAID FOR CAPITAL SHOPPERS,138800.0,Food & Groceries,MTN MoMo
2025-12-16,POS PURCHASE YY COACHES KAMPALA,61300.0,Transport,Centenary Bank
2025-07-21,PAID FOR LYCADATA,23800.0,Airtime & Data,MTN MoMo
2025-07-26,POS PURCHASE SALARY DEPOSIT KAMPALA,1476500.0,Income/Transfers,Airtel Money
2025-05-05,MOMOPAY 168370 UBER,50000.0,Transport,Centenary Bank
2025-10-31,AGENT 8534 - MOMO TRANSFER FROM,4770000.0,Income/Transfers,Centenary Bank
2025-11-09,AGENT 4142 - QUALITY SUPERMARKET,44300.0,Food & Groceries,MTN MoMo
2025-05-12,MOMOPAY 124705 AIRTEL TOPUP,44200.0,Airtime & Data,MTN MoMo
2025-10-23,MOMOPAY 740685 MTN AIRTIME,21400.0,Airtime & Data,Airtel Money
2025-05-11,AIRTEL TOPUP GULU,19800.0,Airtime & Data,Stanbic
2025-04-20,AIRTEL INTERNET MUK,253900.0,Utilities,Centenary Bank
2025-05-31,POS PURCHASE MULTICHOICE DSTV KAMPALA,70400.0,Utilities,Airtel Money
2025-12-04,WHT 68% TOTALENERGIES,20400.0,Transport,MTN MoMo
2025-05-31,AGENT 5009 - MTN AIRTIME,12400.0,Airtime & Data,MTN MoMo
2025-10-12,MOMOPAY 684431 LOCAL JOINT,72300.0,Dining & Drinks,Stanbic
2026-01-24,WHT 17% MEGA STANDARD,79700.0,Food & Groceries,Stanbic
2025-10-07,AGENT 8076 - YY COACHES,68400.0,Transport,Stanbic
2025-05-05,PAID FOR STANDARD HIGH,1250700.0,Education,Stanbic
2025-11-18,PAID FOR NANDOS,118800.0,Dining & Drinks,Stanbic
2025-09-17,PAID FOR CAPITAL SHOPPERS,7900.0,Food & Groceries,Stanbic
2025-09-28,AIRTEL TOPUP KLA,23700.0,Airtime & Data,MTN MoMo
2025-04-12,POS PURCHASE BANK TO WALLET KAMPALA,1090100.0,Income/Transfers,Stanbic
2025-07-14,PAID FOR NANDOS,39400.0,Dining & Drinks,MTN MoMo
2025-10-17,PAID FOR AIRTEL TOPUP,42200.0,Airtime & Data,Centenary Bank
2025-10-19,POS PURCHASE STANDARD HIGH KAMPALA,1974700.0,Education,Stanbic
2025-06-12,MOMOPAY 835658 SAFEBODA,50900.0,Transport,MTN MoMo
2026-02-03,SALARY DEPOSIT KLA,523100.0,Income/Transfers,MTN MoMo
2025-05-25,AIRTEL TOPUP MSK,28100.0,Airtime & Data,MTN MoMo
2025-12-26,UBER KLA,62300.0,Transport,Airtel Money
2026-01-13,LYCADATA GULU,42900.0,Airtime & Data,MTN MoMo
2025-04-21,POS PURCHASE LYCADATA KAMPALA,800.0,Airtime & Data,Centenary Bank
2026-02-08,POS PURCHASE LYCADATA KAMPALA,43300.0,Airtime & Data,Stanbic
2025-07-14,WHT 34% MEGA STANDARD,52900.0,Food & Groceries,MTN MoMo
2025-08-05,PAID FOR SALARY DEPOSIT,2035000.0,Income/Transfers,MTN MoMo
2025-09-10,SALARY DEPOSIT MUK,3684600.0,Income/Transfers,Centenary Bank
2025-07-07,MOMOPAY 705978 AIRTEL TOPUP,45200.0,Airtime & Data,MTN MoMo
2025-03-25,CAFESSERIE MBALE,43600.0,Dining & Drinks,Centenary Bank
2025-07-21,POS PURCHASE MAKERERE UNI KAMPALA,1690300.0,Education,Centenary Bank
2025-04-12,POS PURCHASE UBER KAMPALA,64000.0,Transport,Airtel Money
2026-01-30,WHT 79% CAPITAL SHOPPERS,99200.0,Food & Groceries,Centenary Bank
2025-10-29,AGENT 8186 - JAVA HOUSE,68600.0,Dining & Drinks,Airtel Money
2025-11-20,AGENT 5116 - MTN AIRTIME,10900.0,Airtime & Data,Airtel Money
2026-02-10,AGENT 9453 - KIKUUBO WHOLESALE,11300.0,Food & Groceries,Centenary Bank
2025-05-05,POS PURCHASE UBER KAMPALA,63600.0,Transport,Stanbic
2026-02-06,MOMOPAY 155821 KIKUUBO WHOLESALE,125000.0,Food & Groceries,Centenary Bank
2025-09-14,UBER ENT,16700.0,Transport,Centenary Bank
2025-07-17,AGENT 8188 - AIRTEL TOPUP,5900.0,Airtime & Data,MTN MoMo
2025-09-23,PAID FOR AIRTEL TOPUP,42900.0,Airtime & Data,Stanbic
2025-10-16,PAID FOR MTN AIRTIME,22400.0,Airtime & Data,Centenary Bank
2025-11-29,AGENT 1159 - CAFESSERIE,12600.0,Dining & Drinks,Airtel Money
2026-03-23,AGENT 9849 - MOMO TRANSFER FROM,3978100.0,Income/Transfers,Airtel Money
2025-05-01,PAID FOR MOMO TRANSFER FROM,3129600.0,Income/Transfers,Airtel Money
2025-07-06,WHT 98% CARREFOUR,43100.0,Food & Groceries,Centenary Bank
2025-10-22,PAID FOR JAVA HOUSE,63700.0,Dining & Drinks,Airtel Money
2025-12-24,CARREFOUR MUK,115600.0,Food & Groceries,Airtel Money
2025-09-17,PAID FOR YY COACHES,2400.0,Transport,Centenary Bank
2025-03-23,WHT 77% MTN AIRTIME,1200.0,Airtime & Data,Centenary Bank
2026-03-13,WHT 34% TOTALENERGIES,29000.0,Transport,Airtel Money
2025-07-12,WHT 50% KIKUUBO WHOLESALE,124900.0,Food & Groceries,MTN MoMo
2025-09-10,MOMOPAY 349432 SALARY DEPOSIT,2157800.0,Income/Transfers,Stanbic
2025-05-08,MULTICHOICE DSTV GULU,26900.0,Utilities,Stanbic
2025-04-01,PAID FOR CARREFOUR,41300.0,Food & Groceries,Centenary Bank
2025-05-31,MOMOPAY 527665 MTN AIRTIME,8300.0,Airtime & Data,Centenary Bank
2025-11-05,PAID FOR MTN AIRTIME,46000.0,Airtime & Data,Centenary Bank
2026-01-14,MOMOPAY 497254 KIKUUBO WHOLESALE,86300.0,Food & Groceries,Centenary Bank
2025-05-29,PAID FOR KIKUUBO WHOLESALE,121900.0,Food & Groceries,MTN MoMo
2025-05-12,PAID FOR GREENHILL ACADEMY,1523400.0,Education,Centenary Bank
2025-08-12,WHT 14% NANDOS,96600.0,Dining & Drinks,Stanbic
2026-02-21,PAID FOR LOCAL JOINT,85500.0,Dining & Drinks,MTN MoMo
2025-09-19,PAID FOR AIRTEL INTERNET,18900.0,Utilities,MTN MoMo
2026-01-23,WHT 95% UBER,48600.0,Transport,Centenary Bank
2026-01-13,WHT 24% KIKUUBO WHOLESALE,113800.0,Food & Groceries,Airtel Money
2025-07-17,POS PURCHASE CARREFOUR KAMPALA,67600.0,Food & Groceries,Airtel Money
2026-02-26,PAID FOR SHELL,26700.0,Transport,Stanbic
2025-08-04,MULTICHOICE DSTV GULU,109100.0,Utilities,MTN MoMo
2025-11-28,WHT 54% TOTALENERGIES,26400.0,Transport,MTN MoMo
2025-07-10,LOCAL JOINT MUK,120000.0,Dining & Drinks,Airtel Money
2025-08-31,WHT 86% MEGA STANDARD,139900.0,Food & Groceries,Stanbic
2025-04-17,POS PURCHASE SHELL KAMPALA,35000.0,Transport,MTN MoMo
2025-07-20,AGENT 8069 - LYCADATA,39800.0,Airtime & Data,Centenary Bank
2025-06-07,QUALITY SUPERMARKET GULU,67600.0,Food & Groceries,Airtel Money
2025-11-02,LYCADATA ENT,45500.0,Airtime & Data,Stanbic
2025-06-19,AGENT 3370 - LINK BUS,68100.0,Transport,Stanbic
2025-03-28,AGENT 6869 - CARREFOUR,13200.0,Food & Groceries,Airtel Money
